Gene_Symbol	C-Pm-01-01_FPKM	C-Pm-01-02_FPKM	C-Pm-01-03_FPKM	C-Pm-1-01_FPKM	C-Pm-1-02_FPKM	C-Pm-1-03_FPKM	C-Pm-10-01_FPKM	C-Pm-10-02_FPKM	C-Pm-10-03_FPKM	C-Pm-C-01_FPKM	C-Pm-C-02_FPKM	C-Pm-C-03_FPKM	C-Pp-01-01_FPKM	C-Pp-01-02_FPKM	C-Pp-1-01_FPKM	C-Pp-1-02_FPKM	C-Pp-1-03_FPKM	C-Pp-10-01_FPKM	C-Pp-10-02_FPKM	C-Pp-10-03_FPKM	C-Pp-C-01_FPKM	C-Pp-C-02_FPKM	C-Pp-C-03_FPKM
A1BG	0.277638	0.328264	0.495897	0.410433	0.379975	0.457803	0.640929	0.628067	0.323444	0.208517	0.279223	0.446418	0.268285	0.240976	0.241963	0.327559	0.203964	0.769151	0.753019	0.766945	0.196976	0.26505500000000004	0.324802
NAT1	3.466674	3.093347	3.572481	3.022039	2.886382	3.5750260000000003	2.2206330000000003	2.474725	2.489835	3.387749	3.2870160000000004	2.785941	3.550562	3.604119	3.929585	3.902609	3.809041000000001	1.883483	2.636003	2.290679	3.80381	3.314251	4.1399339999999984
SERPINA3	1.936482	2.771017	2.507511	2.317788	2.338782	1.913711	3.619306	5.055038	3.882011	2.561659	2.491536	2.504543	1.834044	1.431437	1.421391	1.401691	1.659193	3.896578	4.253032	4.64206	1.248059	1.633089	1.520826
AADAC	0.0	0.045934	0.024603	0.132125	0.252671	0.124397	0.081759	0.085539	0.16738	0.027393	0.183058	0.241129	0.139598	0.198441	0.05982100000000001	0.208337	0.407674	0.05979	0.152129	0.08105599999999999	0.148452	0.15220899999999998	0.182763
AAMP	36.624791	39.700178	38.672773	37.864372	37.895247	37.26091	29.111391	34.810121	30.892542	38.334253	38.398306	39.906517	38.968682	36.507897	38.573574	39.211957	37.078625	31.963216	33.058747	32.434575	38.43984	36.843693	36.529835
ABAT	1.404743	1.469946	1.33509	1.306416	1.236228	1.477489	1.260647	0.869337	0.951997	1.491658	1.593908	1.400443	1.518412	2.07826	1.681129	1.332149	1.44898	0.829608	0.745397	0.755286	1.648063	1.515925	1.5537040000000002
ABCA1	8.423941000000001	9.261061	8.342988	8.12723	7.271436	8.635022	3.14458	2.662791	2.94556	8.733289	8.998607000000002	7.992696	8.763539	9.780624	7.947872999999999	6.62867	8.452845	3.183876	3.481903	3.311547	8.226118	8.870457	10.428607
ABCA2	5.03573	5.548092	5.2160449999999985	5.814241	4.895409	4.660076	11.564237	12.373025	12.669251	5.208095	5.277792	5.091667	4.241003	4.305935	5.006392	4.294219	4.149947	10.176285	10.264992	10.187745	4.099372	4.43949	4.137278
ABCA3	0.6493	0.560508	0.7023189999999999	0.5838300000000001	0.43367	0.601539	1.296634	1.16434	1.365437	0.458265	0.606776	0.452898	0.419698	0.2831	0.414688	0.430713	0.371245	1.238465	1.102392	0.949302	0.324783	0.331826	0.291585
ABCB7	3.916561	3.537287	3.424938	3.940238	3.802675	3.819458	4.724078	4.727843	5.029916	3.72749	3.849292	3.305785	3.5152410000000005	4.235313	3.872563	3.685409	3.273655	4.005021	4.615747	4.764776	3.823329	4.0327720000000005	4.133945
ABCF1	24.790629	25.125061	25.680042	26.072717	24.224399	22.169309	19.792518	21.578084	20.246882	25.876608	24.833888	24.020755	27.178192	25.889518	28.25804	25.667958	25.068643	22.152763	22.197594	21.902776	26.230628000000006	24.499991	25.554993
ABL1	29.132984000000004	28.274949	29.559265000000003	29.575411	27.070737	28.18369	23.405981	24.014014000000003	24.505417	29.395699	28.594308	28.415659	28.950152000000006	29.082841	28.386613	28.359935	27.974062	23.74708	23.94088	24.287015	26.584536	28.652908	27.789062
ABL2	13.367536	14.378984	13.849003	12.954463	12.110325	13.585467	10.142587	8.945062	9.520376	14.035635999999998	14.207435999999998	13.455444	13.440478	13.272557999999998	13.295057	12.811341	14.217422	9.704689	10.018992	9.330262	13.384364	13.840138	13.766937
