Gene_Symbol	P-Pm-01-02_FPKM	P-Pm-01-03_FPKM	P-Pm-1-01_FPKM	P-Pm-1-02_FPKM	P-Pm-1-03_FPKM	P-Pm-10-01_FPKM	P-Pm-10-02_FPKM	P-Pm-C-01_FPKM	P-Pm-C-02_FPKM	P-Pm-C-03_FPKM	P-Pp-01-01_FPKM	P-Pp-01-02_FPKM	P-Pp-01-03_FPKM	P-Pp-1-01_FPKM	P-Pp-1-02_FPKM	P-Pp-1-03_FPKM	P-Pp-10-01_FPKM	P-Pp-10-02_FPKM	P-Pp-10-03_FPKM	P-Pp-C-01_FPKM	P-Pp-C-02_FPKM	P-Pp-C-03_FPKM
A1BG	0.466875	0.514093	0.321272	0.6032689999999999	0.39982	0.8248409999999999	0.724572	0.537304	0.46942	0.377486	0.559159	0.405647	0.473575	0.378893	0.412096	0.449071	0.8267950000000001	0.580691	0.391331	0.449758	0.530623	0.36419
A2M	8.350089	7.4369	6.814862	7.559863000000001	8.008654	3.205884	2.885246	8.108651	7.334161	7.831002000000002	5.8409559999999985	6.192283	6.139405	4.296333	4.1734230000000005	6.217723	1.276877	1.686962	1.483757	5.81941	6.053552	6.493988
NAT1	1.53732	1.369416	1.731439	1.806939	1.8783490000000005	0.98052	0.878767	1.206325	1.33135	1.772902	1.885108	2.197034	1.969638	2.0832040000000003	1.6680849999999998	1.597713	0.981791	0.835677	0.952778	1.530284	2.028747	1.9740990000000005
SERPINA3	1.310128	0.986423	0.8619979999999999	0.953812	1.056246	2.141871	1.685717	1.055161	0.64408	0.990298	1.20978	0.571279	0.470669	0.5332140000000001	0.583767	0.988725	2.194367	1.669857	2.727662	0.710434	0.74975	0.784029
AADAC	0.5208659999999999	0.624989	0.975703	0.756789	0.8528530000000001	2.266135	1.660848	0.787208	0.580595	0.5873659999999999	1.068607	1.462882	0.932269	1.213418	1.262622	0.938881	2.482534	1.985117	2.280108	1.121667	1.234192	0.870517
AAMP	38.575522	39.869122	42.778694	42.065612	41.67127	35.064137	37.967752	44.281082	40.480494	40.017774	43.772194	35.385021	39.596	41.58848	44.00216500000001	40.71489	39.055062	39.229927	38.711793	44.387011	43.783027	43.279994
ABAT	0.578129	0.613155	0.371954	0.585054	0.456873	0.33609	0.382343	0.442897	0.472311	0.4623310000000001	0.572279	0.516328	0.5503680000000001	0.620059	0.5566800000000001	0.728005	0.464473	0.37282	0.368841	0.4889439999999999	0.574005	0.472563
ABCA1	11.96492	12.874205	11.573987	11.891861	12.452246	9.419002	9.228839	10.66743	11.938858	13.173673999999998	12.337413	14.357928	15.459233	12.905978	11.523464	13.443142000000002	11.489584	10.205205	11.337502	12.653851	13.256748000000002	13.632666
ABCA2	3.976959	4.038744	4.534686	4.164494	4.76168	8.545142	8.102806	5.2582559999999985	4.035413	4.349243	3.758779	2.872488	3.180073	4.238299	4.145079	3.900363	7.0419100000000014	8.167622	7.956272	3.66259	3.783336	3.974381
ABCA3	3.318682	3.0963540000000003	3.440894	3.371909	3.4455400000000003	8.230021	8.462169	2.936546	2.77449	2.885349	3.4569400000000003	3.397002	3.763065	3.630795	4.387585	3.784421	7.810322999999999	8.097085	7.846877	3.992197	3.2627770000000003	3.456231
