new.colnames	NMN	PolyIC	Pp_hNMN
C-Pm-01-01_FPKM	1	0	0
C-Pm-01-02_FPKM	1	0	0
C-Pm-01-03_FPKM	1	0	0
C-Pm-1-01_FPKM	5	0	0
C-Pm-1-02_FPKM	5	0	0
C-Pm-1-03_FPKM	5	0	0
C-Pm-10-01_FPKM	10	0	0
C-Pm-10-02_FPKM	10	0	0
C-Pm-10-03_FPKM	10	0	0
C-Pm-C-01_FPKM	0	0	0
C-Pm-C-02_FPKM	0	0	0
C-Pm-C-03_FPKM	0	0	0
C-Pp-01-01_FPKM	1	1	0
C-Pp-01-02_FPKM	1	1	0
C-Pp-1-01_FPKM	5	1	0
C-Pp-1-02_FPKM	5	1	0
C-Pp-1-03_FPKM	5	1	0
C-Pp-10-01_FPKM	10	1	1
C-Pp-10-02_FPKM	10	1	1
C-Pp-10-03_FPKM	10	1	1
C-Pp-C-01_FPKM	0	1	0
C-Pp-C-02_FPKM	0	1	0
C-Pp-C-03_FPKM	0	1	0
